Timestamp,1. Which city are you from?,2. What is your field of study?,3. What is your level of study?,"4. How would you rate the effectiveness of traditional classroom-based learning (lectures, seminars) in helping you understand your coursework?","5. How effective do you find modern learning tools (e.g., online courses, EdTech platforms, learning apps) in helping you understand your coursework?",6. What do you value most about modern learning tools? (Select up to 2 options),7. What challenges do you face while using modern learning tools (EdTech)? (Select all that apply),8. Which learning method do you prefer overall?,9. What do you believe is the most significant advantage of modern learning tools over traditional methods?,10. Have your attitudes toward learning methods changed due to the pandemic or recent shifts toward online education?,"11. Before the pandemic, how often did you use EdTech tools for learning?",12. How effective did you find EdTech in helping you continue your education during the pandemic?,"13. How likely are you to continue using EdTech tools even after the pandemic, now that in-person learning has resumed?",14. How do you think the pandemic has influenced the future of education in terms of EdTech adoption?,15. Did the use of EdTech during the pandemic improve your academic performance?,"16. Do you think EdTech-based learning (online courses, learning platforms) better prepares you for the job market compared to traditional learning?",17. Which of the following job-related skills have you developed using EdTech tools? (Select all that apply),18. To what extent do you believe EdTech tools have helped you understand the needs and expectations of the job market?,19. Which of the following challenges have you faced when using EdTech tools for job skill development? (Select all that apply),20. Do you believe that using EdTech tools will increase your chances of securing a job in your chosen field?,21. How has EdTech changed your approach to learning and career preparation?
8/10/2024 10:45,Delhi,Engineering/Technology,Undergraduate,Moderately effective,Somewhat ineffective,"Access to a wider variety of resources (videos, interactive exercises), Innovative, engaging learning methods (gamification, simulations), Access to global experts and content","Lack of personal interaction with professors, Distractions from other online activities, Difficulty staying motivated or focused",A hybrid of both,Ability to revisit lessons anytime,Not sure,Occasionally,Very effective,Neutral,I believe EdTech will become a core part of education,"Yes, somewhat improved","Yes, somewhat better","Technical skills (e.g., coding, data analysis), Communication skills (e.g., presentations, writing), Problem-solving skills",A moderate extent,"Lack of personalized guidance from mentors, Lack of practical, hands-on experience",Neutral,I occasionally use EdTech to complement my studies
8/10/2024 10:47,Delhi,Engineering/Technology,Undergraduate,Moderately effective,Neutral,"Flexibility to learn anytime, anywhere, Access to a wider variety of resources (videos, interactive exercises), Innovative, engaging learning methods (gamification, simulations)","Lack of personal interaction with professors, Distractions from other online activities, Difficulty staying motivated or focused",A hybrid of both,Access to diverse content and learning methods,"Yes, I now appreciate traditional learning more",Occasionally,Moderately effective,Neutral,I believe EdTech will become a core part of education,No noticeable impact,"Yes, significantly better","Technical skills (e.g., coding, data analysis), Problem-solving skills, Time management and productivity",A moderate extent,"Lack of personalized guidance from mentors, Difficulty in staying motivated, Lack of practical, hands-on experience",Neutral,I occasionally use EdTech to complement my studies
8/10/2024 10:49,Delhi,Engineering/Technology,Undergraduate,Somewhat ineffective,Very effective,"Flexibility to learn anytime, anywhere, Self-paced learning","Lack of personal interaction with professors, Distractions from other online activities, Limited internet access or poor connectivity, Difficulty staying motivated or focused",A hybrid of both,"Cost savings (less travel, fewer physical materials)","Yes, I now prefer modern learning tools",Occasionally,Moderately effective,Very likely,I believe EdTech will become a core part of education,"Yes, somewhat improved","Yes, somewhat better","Technical skills (e.g., coding, data analysis), Communication skills (e.g., presentations, writing)",A moderate extent,Lack of personalized guidance from mentors,Neutral,I occasionally use EdTech to complement my studies
8/10/2024 10:50,Kolkata,Science,Undergraduate,Very effective,Moderately effective,"Flexibility to learn anytime, anywhere, Access to a wider variety of resources (videos, interactive exercises), Self-paced learning, Innovative, engaging learning methods (gamification, simulations), Access to global experts and content",Distractions from other online activities,A hybrid of both,Flexibility and convenience,"No, my preferences remain the same",Never,Neutral,Neutral,I think EdTech will play a supplementary role,"Yes, somewhat improved","Yes, somewhat better",Leadership and teamwork,A moderate extent,Financial barriers to accessing premium content,Neutral,I occasionally use EdTech to complement my studies
8/10/2024 10:52,Delhi,Engineering/Technology,Undergraduate,Neutral,Very effective,"Flexibility to learn anytime, anywhere, Self-paced learning, Innovative, engaging learning methods (gamification, simulations)",Distractions from other online activities,"Modern (online learning, EdTech tools)",Ability to revisit lessons anytime,"No, my preferences remain the same",Several times a week,Very effective,Very likely,I believe EdTech will become a core part of education,"Yes, significantly improved","Yes, significantly better","Technical skills (e.g., coding, data analysis), Problem-solving skills, Leadership and teamwork",A moderate extent,"Lack of personalized guidance from mentors, Difficulty in staying motivated","Yes, significantly",I now actively seek out new courses and skills on EdTech platforms
8/10/2024 11:35,Kolkata,Engineering/Technology,Undergraduate,Very effective,Moderately effective,"Access to a wider variety of resources (videos, interactive exercises), Innovative, engaging learning methods (gamification, simulations)","Limited internet access or poor connectivity, Financial barriers (cost of devices, software), Difficulty understanding or using the technology","Modern (online learning, EdTech tools)","Cost savings (less travel, fewer physical materials)","Yes, I now appreciate traditional learning more",Once a week,Somewhat ineffective,Very likely,I believe EdTech will become a core part of education,"Yes, significantly improved","Yes, significantly better",Time management and productivity,A great extent,"Lack of personalized guidance from mentors, Difficulty in staying motivated","No, traditional methods are better",I primarily rely on traditional education for career preparation
8/10/2024 11:38,Delhi,Engineering/Technology,Undergraduate,Neutral,Very effective,"Flexibility to learn anytime, anywhere, Self-paced learning","Distractions from other online activities, Difficulty staying motivated or focused",A hybrid of both,Flexibility and convenience,"Yes, I now prefer modern learning tools",Occasionally,Very effective,Very likely,I believe EdTech will become a core part of education,"Yes, somewhat improved","Yes, significantly better","Technical skills (e.g., coding, data analysis), Problem-solving skills, Time management and productivity",A great extent,"Lack of personalized guidance from mentors, Difficulty in staying motivated, Lack of practical, hands-on experience, Uncertainty about the relevance of content to job roles","Yes, somewhat",I now actively seek out new courses and skills on EdTech platforms
8/10/2024 11:42,Kolkata,Engineering/Technology,Undergraduate,Somewhat ineffective,Moderately effective,"Flexibility to learn anytime, anywhere, Self-paced learning, Innovative, engaging learning methods (gamification, simulations), Access to global experts and content","Lack of personal interaction with professors, Distractions from other online activities",A hybrid of both,Ability to revisit lessons anytime,"Yes, I now prefer modern learning tools",Occasionally,Moderately effective,Very likely,I think EdTech will play a supplementary role,"Yes, somewhat improved","Yes, somewhat better","Technical skills (e.g., coding, data analysis), Communication skills (e.g., presentations, writing)",A great extent,Lack of personalized guidance from mentors,"Yes, somewhat",I now actively seek out new courses and skills on EdTech platforms
8/10/2024 11:56,Kolkata,Engineering/Technology,Undergraduate,Moderately effective,Very effective,"Flexibility to learn anytime, anywhere, Access to a wider variety of resources (videos, interactive exercises)","Distractions from other online activities, Limited internet access or poor connectivity, Difficulty staying motivated or focused",A hybrid of both,Access to diverse content and learning methods,Not sure,Occasionally,Moderately effective,Somewhat likely,I think EdTech will play a supplementary role,"Yes, somewhat improved","Yes, somewhat better","Technical skills (e.g., coding, data analysis), Problem-solving skills",A moderate extent,"Difficulty in staying motivated, Technical issues or platform usability, Lack of practical, hands-on experience, Uncertainty about the relevance of content to job roles",Not sure,I occasionally use EdTech to complement my studies
8/10/2024 12:07,Kolkata,Engineering/Technology,Undergraduate,Neutral,Very effective,Self-paced learning,"Distractions from other online activities, Difficulty staying motivated or focused, Difficulty understanding or using the technology",A hybrid of both,"Cost savings (less travel, fewer physical materials)","Yes, I now prefer modern learning tools",Never,Somewhat ineffective,Very likely,I believe EdTech will become a core part of education,"Yes, somewhat improved",Not sure,"Technical skills (e.g., coding, data analysis)",Not at all,"Difficulty in staying motivated, Uncertainty about the relevance of content to job roles",Not sure,I occasionally use EdTech to complement my studies
